age,club_member_status,fashion_news_frequency,product_group_name,price,clusters
31.0,ACTIVE,NONE,Underwear,0.0254067796610169,0
31.0,ACTIVE,Regularly,Accessories,0.0118474576271186,3
32.0,ACTIVE,NONE,Shoes,0.0338813559322033,0
35.0,ACTIVE,NONE,Garment Lower body,0.0169322033898305,0
24.0,LEFT CLUB,NONE,Garment Upper body,0.0169322033898305,4
26.0,ACTIVE,NONE,Shoes,0.0355762711864406,0
31.0,ACTIVE,NONE,Garment Upper body,0.0076101694915254,0
54.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,1
35.0,ACTIVE,Regularly,Garment Full body,0.0593050847457627,3
23.0,ACTIVE,Regularly,Garment Lower body,0.0169322033898305,3
32.0,ACTIVE,NONE,Underwear,0.0220169491525423,0
22.0,ACTIVE,Regularly,Garment Upper body,0.0176101694915254,3
46.0,ACTIVE,Regularly,Garment Upper body,0.008457627118644,1
58.0,ACTIVE,NONE,Garment Upper body,0.0254067796610169,4
49.0,ACTIVE,NONE,Garment Upper body,0.0271016949152542,4
27.0,ACTIVE,Regularly,Garment Lower body,0.0335762711864406,3
32.0,ACTIVE,NONE,Underwear,0.0254067796610169,0
49.0,ACTIVE,Regularly,Swimwear,0.0169322033898305,1
21.0,ACTIVE,Regularly,Shoes,0.0508305084745762,3
28.0,ACTIVE,Regularly,Garment Upper body,0.020322033898305,3
30.0,ACTIVE,Regularly,Underwear,0.0169322033898305,3
25.0,ACTIVE,NONE,Underwear,0.0304915254237288,0
24.0,ACTIVE,NONE,Garment Upper body,0.0338813559322033,0
22.0,ACTIVE,Regularly,Garment Lower body,0.0220169491525423,3
44.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
63.0,ACTIVE,NONE,Garment Lower body,0.0504067796610169,4
24.0,ACTIVE,NONE,Garment Lower body,0.0304915254237288,0
45.0,ACTIVE,NONE,Garment Lower body,0.0338813559322033,4
26.0,ACTIVE,Regularly,Swimwear,0.0220169491525423,3
28.0,ACTIVE,NONE,Nightwear,0.0423559322033898,0
60.0,ACTIVE,Regularly,Garment Upper body,0.0338813559322033,1
60.0,ACTIVE,NONE,Garment Upper body,0.0152372881355932,4
31.0,ACTIVE,NONE,Garment Upper body,0.0355762711864406,0
37.0,ACTIVE,Regularly,Garment Full body,0.0254067796610169,1
20.0,ACTIVE,Regularly,Swimwear,0.0169322033898305,3
25.0,ACTIVE,Regularly,Swimwear,0.0423559322033898,3
32.0,ACTIVE,NONE,Garment Full body,0.0254067796610169,0
21.0,ACTIVE,Regularly,Garment Upper body,0.0050677966101694,3
42.0,ACTIVE,NONE,Garment Upper body,0.0593050847457627,4
26.0,ACTIVE,Regularly,Garment Upper body,0.0508305084745762,3
56.0,ACTIVE,NONE,Garment Upper body,0.0254067796610169,4
26.0,ACTIVE,NONE,Garment Full body,0.0423559322033898,0
45.0,ACTIVE,NONE,Garment Upper body,0.0169322033898305,4
23.0,ACTIVE,Regularly,Garment Full body,0.0508305084745762,3
20.0,ACTIVE,Regularly,Garment Upper body,0.0220169491525423,3
20.0,ACTIVE,NONE,Garment Upper body,0.0457457627118644,0
39.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
49.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
27.0,ACTIVE,NONE,Garment Upper body,0.0169322033898305,0
34.0,ACTIVE,Regularly,Socks & Tights,0.0198305084745762,3
54.0,ACTIVE,Regularly,Swimwear,0.0135423728813559,1
49.0,ACTIVE,NONE,Garment Lower body,0.0338813559322033,4
33.0,ACTIVE,NONE,Underwear,0.0135423728813559,0
49.0,PRE-CREATE,NONE,Garment Upper body,0.0118474576271186,2
30.0,ACTIVE,NONE,Underwear,0.0381186440677966,0
23.0,ACTIVE,Regularly,Garment Lower body,0.0338813559322033,3
26.0,ACTIVE,NONE,Accessories,0.0111525423728813,0
21.0,ACTIVE,NONE,Accessories,0.0118474576271186,0
60.0,ACTIVE,Regularly,Accessories,0.0143898305084745,1
27.0,ACTIVE,NONE,Underwear,0.0169322033898305,0
62.0,ACTIVE,Regularly,Garment Full body,0.0338813559322033,1
28.0,ACTIVE,Regularly,Garment Lower body,0.0304915254237288,3
43.0,ACTIVE,Regularly,Garment Lower body,0.0237118644067796,1
51.0,ACTIVE,NONE,Garment Upper body,0.0118474576271186,4
28.0,ACTIVE,Regularly,Underwear,0.0338813559322033,3
53.0,ACTIVE,Regularly,Garment Lower body,0.0254067796610169,1
42.0,ACTIVE,Regularly,Accessories,0.0169322033898305,1
19.0,ACTIVE,Regularly,Garment Full body,0.0423559322033898,3
41.0,ACTIVE,NONE,Garment Upper body,0.0508305084745762,4
26.0,ACTIVE,NONE,Garment Upper body,0.0135423728813559,0
19.0,ACTIVE,NONE,Socks & Tights,0.0118474576271186,0
55.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,1
51.0,ACTIVE,Regularly,Garment Lower body,0.0508305084745762,1
30.0,ACTIVE,Regularly,Garment Full body,0.0254067796610169,3
45.0,ACTIVE,NONE,Underwear,0.0101525423728813,4
65.0,ACTIVE,NONE,Garment Full body,0.0254067796610169,4
56.0,ACTIVE,NONE,Underwear,0.0423559322033898,4
57.0,ACTIVE,Regularly,Garment Lower body,0.0316610169491525,1
31.0,ACTIVE,NONE,Underwear,0.020322033898305,0
25.0,ACTIVE,NONE,Garment Upper body,0.0101525423728813,0
30.0,ACTIVE,NONE,Garment Upper body,0.0135423728813559,0
60.0,ACTIVE,Regularly,Garment Upper body,0.0063389830508474,1
27.0,ACTIVE,NONE,Garment Upper body,0.0508305084745762,0
32.0,ACTIVE,Regularly,Garment Upper body,0.0423559322033898,3
22.0,ACTIVE,Regularly,Swimwear,0.0220169491525423,3
36.0,ACTIVE,NONE,Garment Upper body,0.0338813559322033,4
47.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,1
25.0,ACTIVE,NONE,Garment Full body,0.0593050847457627,0
23.0,ACTIVE,Regularly,Garment Upper body,0.0338813559322033,3
40.0,ACTIVE,Regularly,Accessories,0.0135423728813559,1
36.0,ACTIVE,NONE,Garment Upper body,0.0220169491525423,4
51.0,ACTIVE,NONE,Garment Upper body,0.0254067796610169,4
36.0,ACTIVE,NONE,Underwear,0.0254067796610169,4
35.0,ACTIVE,Regularly,Garment Lower body,0.0220169491525423,3
60.0,ACTIVE,NONE,Garment Lower body,0.0271016949152542,4
30.0,ACTIVE,NONE,Garment Full body,0.0152372881355932,0
27.0,ACTIVE,NONE,Swimwear,0.0152372881355932,0
33.0,ACTIVE,Regularly,Nightwear,0.0508305084745762,3
23.0,ACTIVE,NONE,Garment Full body,0.0304915254237288,0
37.0,ACTIVE,NONE,Garment Upper body,0.0508305084745762,4
31.0,ACTIVE,NONE,Swimwear,0.0176101694915254,0
49.0,ACTIVE,NONE,Swimwear,0.022864406779661,4
25.0,ACTIVE,NONE,Swimwear,0.0169322033898305,0
45.0,ACTIVE,NONE,Swimwear,0.0169322033898305,4
50.0,ACTIVE,Regularly,Socks & Tights,0.0035423728813559,1
32.0,ACTIVE,Regularly,Swimwear,0.022864406779661,3
25.0,ACTIVE,Regularly,Underwear,0.0254067796610169,3
29.0,ACTIVE,Regularly,Swimwear,0.0169322033898305,3
39.0,ACTIVE,NONE,Garment Upper body,0.0555254237288135,4
53.0,ACTIVE,NONE,Garment Full body,0.0423559322033898,4
55.0,ACTIVE,NONE,Garment Upper body,0.0508305084745762,4
26.0,ACTIVE,Regularly,Garment Upper body,0.008457627118644,3
66.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
56.0,ACTIVE,Regularly,Garment Upper body,0.0338813559322033,1
50.0,ACTIVE,Regularly,Accessories,0.0050677966101694,1
27.0,ACTIVE,NONE,Swimwear,0.0220169491525423,0
20.0,ACTIVE,NONE,Swimwear,0.0508305084745762,0
20.0,ACTIVE,NONE,Swimwear,0.0152372881355932,0
50.0,ACTIVE,NONE,Underwear,0.0089491525423728,4
37.0,ACTIVE,Regularly,Garment Upper body,0.0423559322033898,1
21.0,ACTIVE,NONE,Shoes,0.0076101694915254,0
44.0,PRE-CREATE,NONE,Garment Lower body,0.008457627118644,2
55.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
62.0,ACTIVE,NONE,Swimwear,0.0254067796610169,4
60.0,ACTIVE,Regularly,Garment Full body,0.0338813559322033,1
50.0,PRE-CREATE,NONE,Swimwear,0.0254067796610169,2
25.0,ACTIVE,NONE,Garment Lower body,0.0423559322033898,0
23.0,ACTIVE,Regularly,Garment Lower body,0.036,3
29.0,ACTIVE,Regularly,Socks & Tights,0.0096440677966101,3
28.0,ACTIVE,Regularly,Garment Lower body,0.0508305084745762,3
50.0,ACTIVE,Regularly,Garment Lower body,0.0169322033898305,1
26.0,ACTIVE,Regularly,Garment Upper body,0.0418474576271186,3
20.0,ACTIVE,NONE,Garment Full body,0.0152372881355932,0
30.0,ACTIVE,NONE,Garment Upper body,0.0254067796610169,0
51.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,1
26.0,ACTIVE,Regularly,Accessories,0.0092033898305084,3
25.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,3
24.0,ACTIVE,NONE,Garment Upper body,0.024593220338983,0
51.0,ACTIVE,Regularly,Garment Upper body,0.0338813559322033,1
28.0,ACTIVE,Regularly,Garment Lower body,0.008457627118644,3
31.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,3
47.0,ACTIVE,NONE,Swimwear,0.021593220338983,4
60.0,PRE-CREATE,NONE,Garment Lower body,0.0338813559322033,2
52.0,ACTIVE,NONE,Garment Upper body,0.0304915254237288,4
19.0,ACTIVE,Regularly,Garment Full body,0.0338813559322033,3
36.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,1
26.0,ACTIVE,NONE,Garment Upper body,0.004322033898305,0
56.0,ACTIVE,NONE,Garment Upper body,0.0423559322033898,4
30.0,ACTIVE,Regularly,Garment Upper body,0.0485762711864406,3
29.0,ACTIVE,NONE,Garment Upper body,0.0135423728813559,0
43.0,ACTIVE,NONE,Garment Upper body,0.0254067796610169,4
44.0,ACTIVE,NONE,Nightwear,0.0118474576271186,4
49.0,ACTIVE,Regularly,Garment Full body,0.0364915254237288,1
46.0,ACTIVE,Regularly,Garment Lower body,0.0338813559322033,1
35.0,ACTIVE,Regularly,Garment Upper body,0.0355762711864406,3
20.0,ACTIVE,NONE,Swimwear,0.0254067796610169,0
54.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
26.0,ACTIVE,NONE,Garment Upper body,0.0114915254237288,0
52.0,ACTIVE,Regularly,Garment Lower body,0.0338813559322033,1
52.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
22.0,ACTIVE,NONE,Accessories,0.0050677966101694,0
23.0,ACTIVE,NONE,Swimwear,0.0169322033898305,0
28.0,ACTIVE,NONE,Garment Upper body,0.0338813559322033,0
19.0,ACTIVE,Regularly,Garment Upper body,0.0254067796610169,3
22.0,ACTIVE,NONE,Garment Lower body,0.0220169491525423,0
50.0,ACTIVE,Regularly,Garment Lower body,0.0508305084745762,1
26.0,ACTIVE,Regularly,Garment Full body,0.0338813559322033,3
60.0,ACTIVE,NONE,Garment Lower body,0.0423559322033898,4
27.0,ACTIVE,Regularly,Swimwear,0.0220169491525423,3
51.0,ACTIVE,Regularly,Garment Lower body,0.0135423728813559,1
46.0,ACTIVE,Regularly,Underwear,0.0254067796610169,1
54.0,ACTIVE,NONE,Garment Lower body,0.0254067796610169,4
33.0,ACTIVE,NONE,Accessories,0.008457627118644,0
28.0,ACTIVE,Regularly,Garment Upper body,0.0050677966101694,3
29.0,ACTIVE,Regularly,Garment Upper body,0.0050677966101694,3
23.0,ACTIVE,Regularly,Garment Upper body,0.0143898305084745,3
22.0,ACTIVE,NONE,Garment Upper body,0.0076101694915254,0
24.0,ACTIVE,NONE,Underwear,0.0287966101694915,0
53.0,ACTIVE,NONE,Garment Lower body,0.0304915254237288,4
57.0,ACTIVE,Regularly,Garment Full body,0.0171355932203389,1
25.0,ACTIVE,Regularly,Garment Lower body,0.0407627118644067,3
52.0,ACTIVE,NONE,Garment Full body,0.0508305084745762,4
21.0,ACTIVE,Regularly,Garment Upper body,0.008457627118644,3
48.0,ACTIVE,Regularly,Underwear,0.0067627118644067,1
31.0,ACTIVE,Regularly,Garment Upper body,0.0079999999999999,3
29.0,ACTIVE,Regularly,Garment Upper body,0.0355762711864406,3
27.0,ACTIVE,Regularly,Garment Upper body,0.0423559322033898,3
37.0,ACTIVE,NONE,Garment Lower body,0.061,4
31.0,ACTIVE,NONE,Garment Upper body,0.0254067796610169,0
26.0,ACTIVE,Regularly,Garment Full body,0.0169322033898305,3
36.0,ACTIVE,NONE,Garment Lower body,0.0254067796610169,4
28.0,ACTIVE,NONE,Garment Upper body,0.0169322033898305,0
57.0,ACTIVE,NONE,Swimwear,0.0338813559322033,4
23.0,ACTIVE,NONE,Garment Upper body,0.008457627118644,0
32.0,ACTIVE,Regularly,Garment Lower body,0.0338813559322033,3
57.0,ACTIVE,Regularly,Garment Upper body,0.0169322033898305,1
